guest	category	video_view_count	video_publish_date	video_id	channel_title	is_a_woman
xQc	Influencer	255873.0	2022-11-01 01:50:40	6sH6UQdxayk	Adin Live	False
Kai Cenat	Influencer	255873.0	2022-11-01 01:50:40	6sH6UQdxayk	Adin Live	False
iShowSpeed	Influencer	429344.0	2022-11-01 06:00:59	8ocRS-_KPi4	Adin Live	False
Marques Brownlee	Influencer	1679959.0	2022-11-01 18:11:34	iYeAWc1m08s	FLAGRANT	False
Bubba Sparxxx	Celebrity	294855.0	2022-11-01 19:00:34	hEEcb9_gXuc	Theo Von	False
Jedediah Bila	Celebrity	114128.0	2022-11-01 19:10:06	6pvjX0nH8eY	PBD Podcast	True
PamiBaby	Influencer	512741.0	2022-11-02 08:07:47	h2XtnltllEY	Adin Live	True
Corinna Kopf	Influencer	154527.0	2022-11-02 18:45:20	WGBgrf-N5ZI	Adin Live	True
Abbas Amanat	Intellectual	469181.0	2022-11-02 21:23:20	OYsYgzzsdT0	Lex Fridman	False
Sean O'Malley	Athlete	2426040.0	2022-11-02 2:27:23	FwPt-ti1oF8	IMPAULSIVE	False
Tydus Talbott	Influencer	2426040.0	2022-11-02 2:27:23	FwPt-ti1oF8	IMPAULSIVE	False
Radio Rahim	Influencer	2426040.0	2022-11-02 2:27:23	FwPt-ti1oF8	IMPAULSIVE	False
Jeff Wittek	Influencer	2426040.0	2022-11-02 2:27:23	FwPt-ti1oF8	IMPAULSIVE	False
Jake Paul	Influencer	2426040.0	2022-11-02 2:27:23	FwPt-ti1oF8	IMPAULSIVE	False
Pam Stepnick	Other	2426040.0	2022-11-02 2:27:23	FwPt-ti1oF8	IMPAULSIVE	True
Will Harris	Other	11917.0	2022-11-03 00:00:00	ozNK2sgJmcg	PowerfulJRE	False
Corinna Kopf	Influencer	573641.0	2022-11-03 17:30:04	H1p7rAJ7sk0	Adin Live	True
Corinna Kopf	Influencer	441012.0	2022-11-03 19:03:56	ndT-L07zCOY	Adin Live	True
Corinna Kopf	Influencer	2657991.0	2022-11-03 21:11:04	gFbAznuyl7Q	Adin Live	True
Bronny	Athlete	2657991.0	2022-11-03 21:11:04	gFbAznuyl7Q	Adin Live	False
Suzanne Santo	Celebrity	1897.0	2022-11-04 00:00:00	UlFrS6jpP7M	PowerfulJRE	True
Lil Yachty	Celebrity	2729936.0	2022-11-04 05:00:07	0crCQTZrPLc	FULL SEND PODCAST	False
Lil Yachty	Celebrity	2729936.0	2022-11-04 05:00:07	0crCQTZrPLc	FULL SEND PODCAST	False
Andrew Tate	Influencer	2446236.0	2022-11-04 18:45:41	KvbnAZSM2rI	Adin Live	False
Andrew Tate	Influencer	5143790.0	2022-11-04 19:30:37	bC564ttnEPI	Adin Live	False
Fiona Hill	Politician	2327586.0	2022-11-04 20:09:32	vNhSCF9i8Qs	Lex Fridman	False
Andrew Tate	Influencer	3271695.0	2022-11-04 23:02:01	zCTy4O_m4As	Adin Live	False
xQc	Influencer	85624.0	2022-11-05 19:34:20	mjdJ6eKtL28	Adin Live	False
xQc	Influencer	311970.0	2022-11-05 20:24:08	ahqRmJvXz_E	Adin Live	False
Dinesh D'Souza	Political Pundit	196420.0	2022-11-05 20:29:53	nmzdNxlSkgQ	PBD Podcast	False
xQc	Influencer	131896.0	2022-11-05 21:48:48	pgw6bDANyWI	Adin Live	False
xQc	Influencer	292989.0	2022-11-05 22:39:19	X_zWvF8OVEg	Adin Live	False
Matt Walsh	Political Pundit	1547156.0	2022-11-07 00:00:00	yAZXLphZAdo	PowerfulJRE	False
iShowSpeed	Influencer	263027.0	2022-11-07 06:16:22	5ty3NktnFgI	Adin Live	False
Ben Shapiro	Political Pundit	8633097.0	2022-11-07 20:50:54	AF8DOS4C2KM	Lex Fridman	False
Kai Cenat	Influencer	366407.0	2022-11-08 00:03:31	R2WV9qJAjZI	Adin Live	False
Mark Turner	Other	255815.0	2022-11-08 0:00:11	MxJJSGN_WCc	Shawn Ryan Show	False
DJ Akademiks	Influencer	4217591.0	2022-11-08 20:14:27	2uBJfdhM5C4	FLAGRANT	False
Mike Rowe	Celebrity	2991930.0	2022-11-08 21:00:06	BTWN-uVuRfI	Theo Von	True
Bjorn Lomborg	Intellectual	13977.0	2022-11-09 00:00:00	I81A6sG7IUU	PowerfulJRE	False
