guest,category,Adin Live,FLAGRANT,FULL SEND PODCAST,IMPAULSIVE,Lex Fridman,PBD Podcast,PowerfulJRE,Shawn Ryan Show,Theo Von,views_sum,no_of_channels,is_a_woman
Donald Trump,Politician,1,1,1,1,1,1,1,1,1,113617973.0,9,FALSE
Andrew Tate,Influencer,1,0,1,0,0,1,0,0,0,80629048.0,3,FALSE
Tucker Carlson,Political Pundit,0,0,1,0,1,0,1,1,1,49009849.0,5,FALSE
Elon Musk,Politician,0,0,0,0,1,0,1,0,0,38437385.0,2,FALSE
Shane Gillis,Comedian,0,1,0,0,0,0,1,0,1,32825625.0,3,FALSE
JD Vance,Politician,0,0,1,0,0,0,1,1,1,27415223.0,4,FALSE
Ben Shapiro,Political Pundit,0,0,1,0,1,0,0,0,0,25578619.0,2,FALSE
Dana White,Athlete,1,1,1,0,1,0,0,0,1,25429574.0,5,FALSE
Katt Williams,Comedian,0,0,0,0,0,0,1,0,0,23802334.0,1,FALSE
Kai Cenat,Influencer,1,0,1,0,0,0,0,0,0,22535037.0,2,FALSE
Jake Paul,Influencer,1,0,1,1,0,0,0,0,0,21263319.0,3,FALSE
Graham Hancock,Other,0,1,0,0,1,1,1,0,0,20741522.0,4,FALSE
iShowSpeed,Influencer,1,0,1,1,0,0,0,0,0,18974496.0,3,FALSE
Destiny,Political Pundit,1,0,0,0,1,1,0,0,0,18594029.0,3,FALSE
Terrence Howard,Celebrity,0,0,0,0,0,0,1,0,0,18032190.0,1,FALSE
Bobby Lee,Comedian,0,0,0,1,0,0,1,0,1,17909260.0,3,FALSE
Paul Rosolie,Other,0,0,0,0,1,0,1,0,0,16632899.0,2,FALSE
Joey Diaz,Comedian,0,1,0,0,0,0,1,0,1,16342789.0,3,FALSE
Dave Smith,Political Pundit,0,1,0,0,0,1,1,0,0,16214597.0,3,FALSE
KSI,Influencer,1,0,0,1,0,0,0,0,1,15178624.0,3,FALSE
George Janko,Influencer,0,0,0,1,0,1,0,0,0,14490583.0,2,FALSE
Druski,Comedian,0,1,0,0,0,0,0,0,1,14490252.0,2,FALSE
Tim Dillon,Comedian,0,1,0,0,0,1,1,0,1,14123082.0,4,FALSE
Theo Von,Comedian,0,0,1,0,0,0,1,0,0,13605162.0,2,FALSE
Jordan Peterson,Influencer,0,0,1,0,1,0,1,1,1,13254684.0,5,FALSE
Michael Franzese,Other,0,0,0,0,0,1,0,0,0,12493824.0,1,FALSE
Michael Franzese,Other,0,0,0,0,0,1,0,0,0,12493824.0,1,FALSE
David Kipping,Intellectual,0,0,0,0,1,1,0,0,0,12144033.0,2,FALSE
RFK Jr.,Politician,0,1,1,0,1,1,1,1,1,11536660.0,7,FALSE
N3on,Influencer,1,0,0,0,0,0,0,0,0,11434127.0,1,FALSE
Billy Carson,Other,0,1,0,0,0,1,1,1,0,11344501.0,4,FALSE
Louis C.K.,Comedian,0,0,0,0,0,0,1,0,1,10489825.0,2,FALSE
Neil deGrasse Tyson,Intellectual,0,0,0,0,0,1,1,0,1,10417917.0,3,FALSE
Coffeezilla,Influencer,0,0,0,0,1,0,1,0,0,10221622.0,2,FALSE
Candace Owens,Political Pundit,1,0,1,0,0,1,0,0,0,10212667.0,3,TRUE
Sean O'Malley,Athlete,1,1,1,1,0,1,0,0,0,10191136.0,5,FALSE
Adin Ross,Influencer,0,0,1,0,0,0,0,0,0,10057307.0,1,FALSE
Dillon Danis,Athlete,1,1,1,0,0,0,0,0,0,9747277.0,3,FALSE
Jeff Wittek,Influencer,0,0,0,1,0,0,0,0,0,9745074.0,1,FALSE
Stavros Halkias,Comedian,0,0,0,0,0,0,1,0,1,9704603.0,2,FALSE
Vivek Ramaswamy,Politician,0,1,1,0,1,1,0,1,0,9690987.0,5,FALSE
Israel Adesanya,Athlete,0,1,0,1,0,0,0,0,1,9531680.0,3,FALSE
Matt McCusker,Comedian,0,0,0,0,0,0,1,0,1,9320597.0,2,FALSE
Ryan Montgomery,Intellectual,0,0,0,0,0,1,0,1,0,9315540.0,2,FALSE
Ari Shaffir,Comedian,0,1,0,0,0,0,1,0,1,9190550.0,3,FALSE
Sam Altman,Other,0,0,0,0,1,0,1,0,0,9142756.0,2,FALSE
DJ Akademiks,Influencer,1,1,1,0,0,0,0,0,0,9081621.0,3,FALSE
Steven Greer,Other,0,0,0,0,0,1,0,1,0,8995896.0,2,FALSE
That Mexican OT,Celebrity,1,1,0,0,0,0,1,0,0,8883520.0,3,FALSE
Andrew Bustamante,Other,0,1,0,0,0,0,0,1,0,8699361.0,2,FALSE
Mark Normand,Comedian,0,0,0,0,0,0,1,0,1,8171719.0,2,FALSE
Matthew MacDougall,Other,0,0,0,0,1,0,0,0,0,8026346.0,1,FALSE
Matthew MacDougall,Other,0,0,0,0,1,0,0,0,0,8026346.0,1,FALSE
Yeonmi Park,Political Pundit,0,1,0,0,0,1,0,1,0,7991710.0,3,TRUE
Duncan Trussell,Comedian,0,0,0,0,0,0,1,0,1,7927472.0,2,FALSE
Adam Sandler,Celebrity,0,0,0,0,0,0,1,0,0,7911944.0,1,FALSE
Eric Weinstein,Other,0,0,0,0,0,0,1,0,0,7825816.0,1,FALSE
John Mearsheimer,Intellectual,0,0,0,0,1,0,0,0,0,7714638.0,1,FALSE
Tristan Tate,Influencer,0,0,0,0,0,1,0,0,0,7609965.0,1,FALSE
Sneako,Influencer,1,0,0,0,0,0,0,0,0,7424795.0,1,FALSE
Alex Jones,Political Pundit,0,0,0,0,0,1,0,0,0,7359576.0,1,FALSE
Andrew Schulz,Comedian,0,0,0,0,0,1,1,0,0,7153020.0,2,FALSE
Ryan Garcia,Athlete,1,0,1,1,0,1,0,0,0,6979546.0,4,FALSE
Sean Strickland,Athlete,0,0,1,0,0,0,0,0,1,6908833.0,2,FALSE
Chael Sonnen,Athlete,0,1,0,0,0,1,0,0,0,6836338.0,2,FALSE
Andrew Santino,Comedian,0,1,0,1,0,0,1,0,1,6433654.0,4,FALSE
