,#trans,##trans_sports,##trans_children,#immigration,##immigration_crime,#medical_institutions,#econ,#war,##war_nowars,#vote,##vote_integrity,##vote_participation
Adin Live,0.0675675675675675,0.0135135135135135,0.0135135135135135,0.054054054054054,0.0405405405405405,0.0135135135135135,0.027027027027027,0.081081081081081,0.0135135135135135,0.1081081081081081,0.0135135135135135,0.054054054054054
FLAGRANT,0.4193548387096774,0.0,0.032258064516129,0.1935483870967742,0.032258064516129,0.1451612903225806,0.2741935483870967,0.2419354838709677,0.032258064516129,0.4032258064516129,0.2096774193548387,0.1451612903225806
FULL SEND PODCAST,0.3181818181818182,0.0606060606060606,0.1515151515151515,0.1969696969696969,0.0454545454545454,0.1515151515151515,0.1666666666666666,0.303030303030303,0.0454545454545454,0.3939393939393939,0.1969696969696969,0.2727272727272727
IMPAULSIVE,0.1111111111111111,0.0,0.0,0.0222222222222222,0.0222222222222222,0.1333333333333333,0.0666666666666666,0.0888888888888888,0.0222222222222222,0.0888888888888888,0.0222222222222222,0.0666666666666666
Lex Fridman,0.1058823529411764,0.0235294117647058,0.0352941176470588,0.2352941176470588,0.0470588235294117,0.1647058823529411,0.3058823529411765,0.4941176470588235,0.0352941176470588,0.4,0.1764705882352941,0.1647058823529411
PBD Podcast,0.6111111111111112,0.0555555555555555,0.2222222222222222,0.5,0.1388888888888889,0.4444444444444444,0.5,0.5833333333333334,0.1388888888888889,0.6944444444444444,0.3333333333333333,0.4166666666666667
PowerfulJRE,0.5274725274725275,0.1098901098901098,0.2197802197802197,0.4175824175824176,0.1538461538461538,0.6373626373626373,0.3406593406593406,0.5494505494505495,0.0219780219780219,0.5934065934065934,0.4395604395604395,0.1758241758241758
Shawn Ryan Show,0.1551724137931034,0.0344827586206896,0.0689655172413793,0.4310344827586206,0.1896551724137931,0.3620689655172414,0.4655172413793103,0.5,0.0344827586206896,0.3103448275862069,0.1206896551724138,0.1551724137931034
Theo Von,0.313953488372093,0.0465116279069767,0.0697674418604651,0.2558139534883721,0.0930232558139534,0.3023255813953488,0.3023255813953488,0.1627906976744186,0.0,0.3255813953488372,0.0930232558139534,0.1744186046511628
All channels,0.2852404643449419,0.0414593698175787,0.0895522388059701,0.2537313432835821,0.0845771144278607,0.2669983416252073,0.2669983416252073,0.3333333333333333,0.0315091210613598,0.3681592039800995,0.1824212271973466,0.1708126036484245
